Conf,Rayon Giration,Distance,ecart-type Distance,RMSD,ecart-type RMSD,Ratio Giration,Correlation,p-value Correlation
REF,17.45,0,,,,,,
34,18.18,11.71,3.21,1.15,0.77,1.04,0.36,0.0
35,17.71,11.71,3.2,1.18,0.69,1.02,0.41,0.0
36,17.68,11.62,3.16,1.26,0.75,1.01,0.39,0.0
37,17.42,11.64,3.17,1.26,0.81,1.0,0.51,0.0
38,17.57,11.67,3.12,1.16,0.75,1.01,0.44,0.0
39,17.78,11.61,3.16,1.2,0.83,1.02,0.47,0.0
40,17.49,11.61,3.08,1.25,0.8,1.0,0.43,0.0
41,18.08,11.66,3.11,1.2,0.87,1.04,0.49,0.0
42,16.96,11.55,3.11,1.18,0.72,0.97,0.4,0.0
43,17.33,11.55,3.1,1.22,0.84,0.99,0.4,0.0
44,17.62,11.54,3.16,1.26,0.81,1.01,0.52,0.0
45,17.46,11.59,3.13,1.21,0.76,1.0,0.49,0.0
46,17.72,11.68,3.04,1.37,0.77,1.02,0.49,0.0
47,17.44,11.6,3.11,1.18,0.77,1.0,0.49,0.0
48,17.96,11.59,3.1,1.25,0.81,1.03,0.5,0.0
49,17.85,11.58,3.08,1.3,0.77,1.02,0.46,0.0
50,17.54,11.61,3.03,1.38,0.74,1.01,0.46,0.0
51,18.03,11.56,3.07,1.21,0.72,1.03,0.49,0.0
52,17.83,11.6,3.1,1.25,0.79,1.02,0.47,0.0
53,17.76,11.69,3.18,1.27,0.76,1.02,0.51,0.0
54,17.58,11.64,3.11,1.3,0.76,1.01,0.55,0.0
55,17.97,11.71,3.16,1.33,0.78,1.03,0.48,0.0
56,17.94,11.68,3.09,1.28,0.71,1.03,0.45,0.0
57,17.47,11.64,3.13,1.31,0.87,1.0,0.47,0.0
58,17.85,11.65,3.15,1.28,0.74,1.02,0.54,0.0
59,17.61,11.64,3.04,1.35,0.75,1.01,0.36,0.0
60,17.48,11.62,3.09,1.24,0.78,1.0,0.41,0.0
61,17.28,11.7,3.13,1.16,0.68,0.99,0.3,0.0
62,17.52,11.64,3.11,1.25,0.78,1.0,0.41,0.0
63,17.26,11.76,3.11,1.39,0.79,0.99,0.4,0.0
64,17.67,11.7,3.03,1.41,0.79,1.01,0.41,0.0
65,17.42,11.58,3.11,1.42,0.88,1.0,0.51,0.0
66,17.84,11.67,3.15,1.28,0.87,1.02,0.46,0.0
67,17.7,11.57,3.1,1.32,0.82,1.01,0.51,0.0
68,17.86,11.66,3.11,1.4,0.79,1.02,0.54,0.0
69,17.53,11.66,3.14,1.27,0.65,1.0,0.51,0.0
70,17.72,11.61,3.1,1.37,0.8,1.02,0.49,0.0
71,17.5,11.65,3.16,1.31,0.81,1.0,0.45,0.0
72,17.9,11.65,3.09,1.46,0.81,1.03,0.53,0.0
73,17.42,11.66,3.08,1.49,0.8,1.0,0.44,0.0
